spread,REB_away,AST_away,FG_PCT_away,MONTH,VISITOR_injuries_severity,data_source,AST_home,VISITOR_injuries_active,HOME_injury_impact,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,FT_PCT_home,GAME_ID,VISITOR_injury_impact,moneyline_home,PTS_away,HOME_star_injuries,total,is_real_vegas_line,HOME_injuries_severity,FG3_PCT_home,HOME_days_since_injury,moneyline_away,FG3_PCT_away,HOME_injuries_recent_7d,SEASON,VISITOR_star_injuries,HOME_injuries_active,VISITOR_injuries_major,HOME_TEAM_ID,VISITOR_injuries_recent_7d,PTS_home,HOME_injuries_major,REB_home,FT_PCT_away,FG_PCT_home,VISITOR_days_since_injury,TARGET,home_ml,HOME_AWAY_STREAK_x_x,HOME_AWAY_STREAK_y_x,HOME_AWAY_STREAK_x_y,HOME_AWAY_STREAK_y_y
0.0,40,22,0.493,10,0.0,synthetic,21,0.0,0.0,1610612765,2003-10-08 00:00:00+00:00,0,0.538,110,0.0,0.0,104,0.0,0.0,False,0.0,0.214,0.0,0.0,0.286,0.0,2003,0.0,0.0,0.0,1610612738,0.0,89,0.0,36,0.7,0.462,0.0,,,-1,1,-1,1
0.0,44,16,0.408,10,0.0,synthetic,25,0.0,0.0,1610612748,2003-10-28 00:00:00+00:00,1,0.533,-31,0.0,0.0,74,0.0,0.0,False,0.0,0.35,0.0,0.0,0.25,0.0,2003,0.0,0.0,0.0,1610612755,0.0,89,0.0,39,0.824,0.44,0.0,,,-1,1,-1,1
0.0,46,17,0.376,10,0.0,synthetic,32,0.0,0.0,1610612742,2003-10-28 00:00:00+00:00,1,0.6,-29,0.0,0.0,93,0.0,0.0,False,0.0,0.35,0.0,0.0,0.28,0.0,2003,0.0,0.0,0.0,1610612747,0.0,109,0.0,46,0.733,0.506,0.0,,,-1,1,-1,1
0.0,43,14,0.361,10,0.0,synthetic,20,0.0,0.0,1610612756,2003-10-28 00:00:00+00:00,1,0.769,-30,0.0,0.0,82,0.0,0.0,False,0.0,0.1,0.0,0.0,0.5,0.0,2003,0.0,0.0,0.0,1610612759,0.0,83,0.0,38,0.81,0.425,0.0,,,-1,1,-1,1
0.0,39,18,0.456,10,0.0,synthetic,15,0.0,0.0,1610612754,2003-10-29 00:00:00+00:00,0,0.742,-24,0.0,0.0,89,0.0,0.0,False,0.0,0.333,0.0,0.0,0.5,0.0,2003,0.0,0.0,0.0,1610612765,0.0,87,0.0,40,0.667,0.392,0.0,,,-1,1,-1,1
0.0,44,17,0.368,10,0.0,synthetic,20,0.0,0.0,1610612753,2003-10-29 00:00:00+00:00,0,0.824,-27,0.0,0.0,85,0.0,0.0,False,0.0,0.313,0.0,0.0,0.25,0.0,2003,0.0,0.0,0.0,1610612752,0.0,83,0.0,48,0.552,0.4,0.0,,,-1,-2,-1,-2
0.0,42,25,0.422,10,0.0,synthetic,26,0.0,0.0,1610612749,2003-10-29 00:00:00+00:00,1,0.643,-23,0.0,0.0,89,0.0,0.0,False,0.0,0.167,0.0,0.0,0.222,0.0,2003,0.0,0.0,0.0,1610612750,0.0,95,0.0,47,0.944,0.447,0.0,,,1,-1,-1,-1
0.0,40,26,0.407,10,0.0,synthetic,17,0.0,0.0,1610612751,2003-10-29 00:00:00+00:00,1,0.8,-25,0.0,0.0,87,0.0,0.0,False,0.0,0.167,0.0,0.0,0.364,0.0,2003,0.0,0.0,0.0,1610612761,0.0,90,0.0,45,0.739,0.425,0.0,,,1,-1,1,-1
0.0,40,20,0.429,10,0.0,synthetic,25,0.0,0.0,1610612757,2003-10-29 00:00:00+00:00,1,0.714,-20,0.0,0.0,92,0.0,0.0,False,0.0,0.556,0.0,0.0,0.333,0.0,2003,0.0,0.0,0.0,1610612762,0.0,99,0.0,29,0.762,0.575,0.0,,,1,1,1,1
0.0,39,14,0.366,10,0.0,synthetic,28,0.0,0.0,1610612748,2003-10-29 00:00:00+00:00,1,0.731,-28,0.0,0.0,75,0.0,0.0,False,0.0,0.313,0.0,0.0,0.417,0.0,2003,0.0,0.0,0.0,1610612738,0.0,98,0.0,40,0.75,0.507,0.0,,,1,-1,1,-1
0.0,50,19,0.436,10,0.0,synthetic,19,0.0,0.0,1610612742,2003-10-29 00:00:00+00:00,0,0.588,-19,0.0,0.0,95,0.0,0.0,False,0.0,0.238,0.0,0.0,0.143,0.0,2003,0.0,0.0,0.0,1610612744,0.0,87,0.0,51,0.862,0.391,0.0,,,-1,-1,1,-1
0.0,39,24,0.465,10,0.0,synthetic,27,0.0,0.0,1610612739,2003-10-29 00:00:00+00:00,1,0.8,-18,0.0,0.0,92,0.0,0.0,False,0.0,0.222,0.0,0.0,0.545,0.0,2003,0.0,0.0,0.0,1610612758,0.0,106,0.0,41,0.667,0.506,0.0,,,1,-2,1,-2
0.0,48,25,0.487,10,0.0,synthetic,16,0.0,0.0,1610612764,2003-10-29 00:00:00+00:00,0,0.613,-22,0.0,0.0,99,0.0,0.0,False,0.0,0.231,0.0,0.0,0.417,0.0,2003,0.0,0.0,0.0,1610612741,0.0,74,0.0,47,0.667,0.317,0.0,,,-1,-1,-1,-1
0.0,60,14,0.268,10,0.0,synthetic,17,0.0,0.0,1610612759,2003-10-29 00:00:00+00:00,1,0.69,-21,0.0,0.0,72,0.0,0.0,False,0.0,0.4,0.0,0.0,0.154,0.0,2003,0.0,0.0,0.0,1610612743,0.0,80,0.0,66,0.783,0.292,0.0,,,1,1,-1,1
0.0,58,18,0.398,10,0.0,synthetic,24,0.0,0.0,1610612737,2003-10-29 00:00:00+00:00,1,0.7,-26,0.0,0.0,83,0.0,0.0,False,0.0,0.16,0.0,0.0,0.214,0.0,2003,0.0,0.0,0.0,1610612740,0.0,88,0.0,55,0.737,0.324,0.0,,,1,1,1,1
0.0,53,21,0.418,10,0.0,synthetic,22,0.0,0.0,1610612746,2003-10-30 00:00:00+00:00,1,0.645,-17,0.0,0.0,100,0.0,0.0,False,0.0,0.31,0.0,0.0,0.4,0.0,2003,0.0,0.0,0.0,1610612760,0.0,109,0.0,47,0.824,0.408,0.0,,,1,-1,1,-1
